station_origin,station_destination,flows,population,jobs,distance
Abbey Road,Bank and Monument,0,599,78549,8131.410852275497
Abbey Road,Beckton,1,599,442,8510.04700569278
Abbey Road,Blackwall,3,599,665,3775.3598724420044
Abbey Road,Canary Wharf,1,599,58772,5086.404941034051
Abbey Road,Canning Town,37,599,15428,2228.874184647753
Abbey Road,Crossharbour,1,599,1208,6686.3350364502685
Abbey Road,Custom House,0,599,845,3824.7899361214795
Abbey Road,Cutty Sark,2,599,1748,8503.7365820279
Abbey Road,Cyprus,7,599,850,6532.0371851847385
Abbey Road,Devons Road,1,599,611,3958.2904322399654
Abbey Road,East India,2,599,1522,3384.0607032814914
Abbey Road,Island Gardens,2,599,691,7706.145392575337
Abbey Road,King George V,5,599,800,6805.940949294421
Abbey Road,Langdon Park,8,599,1989,4810.624641929763
Abbey Road,Lewisham,0,599,2400,11213.267832431964
Abbey Road,Limehouse,2,599,2969,6154.423282144181
Abbey Road,London City Airport,4,599,1941,5777.364535549983
Abbey Road,Pontoon Dock,8,599,1123,4636.026196750157
Abbey Road,Poplar,0,599,1301,4498.312601744813
Abbey Road,Prince Regent,1,599,754,4349.277514094159
Abbey Road,Royal Albert,4,599,684,5237.697526411523
Abbey Road,Shadwell,1,599,7447,6583.487279123604
Abbey Road,South Quay,7,599,4591,6089.597423697685
Abbey Road,Star Lane,7,599,1052,1397.471378904393
Abbey Road,Stratford,285,599,55954,1174.5026044792562
Abbey Road,Stratford High Street,10,599,788,655.2042983520204
Abbey Road,Stratford International,33,599,1546,2495.56841761356
Abbey Road,West Ham,130,599,5487,533.8352508216653
Abbey Road,West Silvertown,2,599,893,3879.9773814541395
Abbey Road,Westferry,3,599,1250,5180.817720492137
Abbey Road,Woolwich Arsenal,32,599,4428,9235.19160039636
Acton Central,Barking,0,1224,7004,28858.61509979417
Acton Central,Blackhorse Road,0,1224,2955,19049.788056170797
Acton Central,Brondesbury,76,1224,712,6439.2556257849665
Acton Central,Brondesbury Park,31,1224,895,5697.084875424576
Acton Central,Bushey,0,1224,456,20277.24256543652
Acton Central,Caledonian Road & Barnsbury,22,1224,1668,14032.096755981785
Acton Central,Camden Road,52,1224,3784,12267.54529420918
Acton Central,Canada Water,0,1224,20443,19290.079288749846
Acton Central,Canonbury,3,1224,846,15826.792429811918
Acton Central,Carpenders Park,0,1224,340,18314.334721487474
Acton Central,Crouch Hill,2,1224,404,13393.270619812607
Acton Central,Dalston Kingsland,5,1224,2091,17007.959844124947
Acton Central,Denmark Hill,0,1224,2612,19357.898358929822
Acton Central,Edmonton Green,0,1224,783,24977.18143888286
Acton Central,Euston,17,1224,16800,11674.399072072438
Acton Central,Finchley Road & Frognal,52,1224,1529,7919.115178070607
Acton Central,Gospel Oak,18,1224,2025,10278.171828194638
Acton Central,Gunnersbury,102,1224,4775,2169.3109900330733
Acton Central,Hackney Central,10,1224,2440,18297.69594443192
Acton Central,Hackney Wick,5,1224,1263,20676.617741921207
Acton Central,Haggerston,2,1224,1184,17998.652531001273
Acton Central,Hampstead Heath,59,1224,2792,9339.626725623166
Acton Central,Harlesden,0,1224,1668,4209.585374828695
Acton Central,Harringay Green Lanes,3,1224,544,14899.881307328656
Acton Central,Harrow & Wealdstone,3,1224,1335,12874.102327037985
Acton Central,Hatch End,0,1224,93,15871.07848328598
Acton Central,Headstone Lane,4,1224,310,14724.964156764909
Acton Central,Highams Park,0,1224,390,24555.682140645687
Acton Central,Highbury & Islington,49,1224,25385,14845.686196882694
Acton Central,Homerton,3,1224,1998,19333.285665172712
Acton Central,Hoxton,4,1224,2181,18833.234110125315
Acton Central,Kensal Green,0,1224,472,4417.595180249166
Acton Central,Kensal Rise,39,1224,1376,4694.575496269427
Acton Central,Kentish Town West,54,1224,1128,11369.31431388382
Acton Central,Kenton,2,1224,768,11093.44815617935
Acton Central,Kew Gardens,18,1224,792,3949.5334683847
Acton Central,Kilburn High Road,0,1224,266,6866.675152555782
Acton Central,Leyton Midland Road,0,1224,445,22254.42427397367
Acton Central,Leytonstone High Road,0,1224,314,23468.52291856698
Acton Central,New Cross,1,1224,1027,22156.534671722962
Acton Central,New Cross Gate,0,1224,1340,21921.304463379613
Acton Central,North Wembley,0,1224,365,8770.72078084292
Acton Central,Queen's Park,0,1224,2167,5802.194077978774
Acton Central,Richmond,318,1224,5397,6117.65370412318
Acton Central,Shadwell,0,1224,7447,18657.782147625992
Acton Central,Shoreditch High Street,4,1224,7558,19122.95000390782
Acton Central,South Acton,7,1224,975,1152.49677857637
Acton Central,South Hampstead,3,1224,236,7843.008678583779
Acton Central,South Kenton,0,1224,261,9706.45566615346
Acton Central,South Tottenham,0,1224,552,16758.674890670314
Acton Central,Stonebridge Park,0,1224,729,5704.524590061152
Acton Central,Stratford,11,1224,55954,22249.536628286005
Acton Central,Surrey Quays,0,1224,1005,19839.58593290985
Acton Central,Upper Holloway,4,1224,898,12178.368894660667
Acton Central,Watford High Street,3,1224,790,21591.454374780566
Acton Central,Watford Junction,5,1224,1367,22997.4533299751
Acton Central,Wembley Central,1,1224,1327,7422.615806560485
Acton Central,West Hampstead,141,1224,5856,7288.470995329585
Acton Central,White Hart Lane,0,1224,641,22578.817207074113
Acton Central,Whitechapel,1,1224,17633,17927.152599095847
Acton Central,Willesden Junction,90,1224,4165,3065.3713746589697
Acton Central,Woodgrange Park,0,1224,242,26708.602449246093
Acton Town,Aldgate,3,3745,7782,16943.751441665132
Acton Town,Aldgate East,17,3745,7932,17185.795767096308
Acton Town,Alperton,35,3745,741,4973.037607847056
Acton Town,Amersham,0,3745,256,37455.11805528229
Acton Town,Angel,11,3745,8103,15763.676068750696
Acton Town,Archway,1,3745,2193,18217.275665816745
Acton Town,Arnos Grove,1,3745,748,25901.0276856494
Acton Town,Arsenal,0,3745,315,17900.029067324707
Acton Town,Baker Street,19,3745,14973,12097.17182029655
Acton Town,Balham,0,3745,3814,18527.56307370845
Acton Town,Bank and Monument,66,3745,78549,15506.858259861723
Acton Town,Barbican,9,3745,9134,16902.25425374505
Acton Town,Barking,1,3745,7004,29080.578332269
Acton Town,Barkingside,0,3745,262,34635.83961150862
Acton Town,Barons Court,84,3745,2956,5270.453280076329
Acton Town,Bayswater,3,3745,615,9786.720321403624
Acton Town,Becontree,0,3745,456,32375.01417313495
Acton Town,Belsize Park,0,3745,2255,17213.092127369262
Acton Town,Bermondsey,6,3745,3172,16806.49278529242
Acton Town,Bethnal Green,2,3745,4660,18756.60225691124
Acton Town,Blackfriars,39,3745,10849,14337.581854829721
Acton Town,Blackhorse Road,0,3745,2955,24646.442587411366
Acton Town,Bond Street,27,3745,20967,12250.135620046609
Acton Town,Borough,1,3745,3254,15233.285035831275
Acton Town,Boston Manor,62,3745,892,3511.667928270841
Acton Town,Bounds Green,1,3745,778,24546.780258886793
Acton Town,Bow Road,1,3745,1193,20883.42424213374
Acton Town,Brixton,16,3745,5084,16094.311565272707
Acton Town,Bromley-by-Bow,2,3745,1613,21892.18925029079
Acton Town,Burnt Oak,0,3745,649,26884.368330910016
Acton Town,Caledonian Road,2,3745,1803,16618.024330200176
Acton Town,Camden Town,3,3745,6348,15181.235852162949
Acton Town,Canada Water,11,3745,20443,17795.994422661315
Acton Town,Canary Wharf,57,3745,58772,20397.814872497216
Acton Town,Canning Town,3,3745,15428,22941.948909563234
Acton Town,Cannon Street,18,3745,4698,15246.010565466466
Acton Town,Canons Park,0,3745,526,24459.194119267395
Acton Town,Chalfont & Latimer,0,3745,554,34069.45175794234
Acton Town,Chalk Farm,0,3745,1329,16175.001729036394
Acton Town,Chancery Lane,20,3745,15391,13817.45588862803
Acton Town,Charing Cross,5,3745,7016,12450.651956016094
Acton Town,Chiswick Park,20,3745,1517,1274.9313280085994
Acton Town,Chorleywood,1,3745,702,30556.59747230211
Acton Town,Clapham Common,3,3745,2020,16102.643937027588
Acton Town,Clapham North,1,3745,1238,15459.889869417906
Acton Town,Clapham South,2,3745,1513,17354.950900870954
Acton Town,Cockfosters,0,3745,262,31089.7603671966
Acton Town,Colindale,0,3745,2081,25577.96857487691
Acton Town,Colliers Wood,0,3745,865,21857.99676169971
Acton Town,Covent Garden,44,3745,4355,12619.056613801466
Acton Town,Croxley,0,3745,340,26518.132027894248
Acton Town,Dagenham East,0,3745,649,35082.396170292915
Acton Town,Dagenham Heathway,0,3745,1108,33803.19078430835
Acton Town,Dollis Hill,0,3745,847,16674.327261024762
Acton Town,Ealing Broadway,107,3745,4846,2591.886598039495
Acton Town,Ealing Common,13,3745,915,1026.61233456759
Acton Town,Earl's Court,129,3745,6613,6775.225899116171
Acton Town,East Acton,2,3745,1505,7200.7241980535855
Acton Town,East Finchley,0,3745,1253,21556.475440241353
Acton Town,East Ham,1,3745,2062,26655.663815093398
Acton Town,East Putney,13,3745,1877,11040.66104963663
Acton Town,Eastcote,2,3745,364,13360.667083198063
Acton Town,Edgware,1,3745,772,28402.482810164453
Acton Town,Edgware Road,12,3745,6868,11062.352962905628
Acton Town,Elephant & Castle,20,3745,6427,14533.342629224904
Acton Town,Embankment,16,3745,10220,12790.977786839354
Acton Town,Euston,14,3745,16800,13807.6597511804
Acton Town,Euston Square,3,3745,8093,13543.92280519564
Acton Town,Farringdon,19,3745,25592,16441.35178415716
Acton Town,Finchley Central,1,3745,1921,23927.01440277804
Acton Town,Finchley Road,0,3745,3417,13983.304035734998
Acton Town,Finsbury Park,7,3745,6769,18672.77958505731
Acton Town,Fulham Broadway,41,3745,4200,8285.356004444355
Acton Town,Gants Hill,0,3745,601,31147.55102150757
